month,tone,frequency,department
2018-03,Neutral without reposts,0.07124495042232831,Bogotá Distrito Capital
2018-03,Positive without reposts,0.05104663973558575,Bogotá Distrito Capital
2018-04,Negative,0.07733333333333334,Bogotá Distrito Capital
2018-04,Neutral,0.08172549019607843,Bogotá Distrito Capital
2018-04,Positive,0.04062745098039216,Bogotá Distrito Capital
2018-04,Negative without reposts,0.11678295997062065,Bogotá Distrito Capital
2018-04,Neutral without reposts,0.07858979067205288,Bogotá Distrito Capital
2018-04,Positive without reposts,0.04406904149834741,Bogotá Distrito Capital
2018-05,Negative,0.07686274509803921,Bogotá Distrito Capital
2018-05,Neutral,0.06070588235294118,Bogotá Distrito Capital
2018-05,Positive,0.04376470588235294,Bogotá Distrito Capital
2018-05,Negative without reposts,0.11421226588321703,Bogotá Distrito Capital
2018-05,Neutral without reposts,0.07124495042232831,Bogotá Distrito Capital
2018-05,Positive without reposts,0.05104663973558575,Bogotá Distrito Capital
2018-06,Negative,0.06086274509803922,Bogotá Distrito Capital
2018-06,Neutral,0.05788235294117647,Bogotá Distrito Capital
2018-06,Positive,0.029333333333333333,Bogotá Distrito Capital
2018-06,Negative without reposts,0.1123760558207859,Bogotá Distrito Capital
2018-06,Neutral without reposts,0.05582078589790672,Bogotá Distrito Capital
2018-06,Positive without reposts,0.0426000734484025,Bogotá Distrito Capital
2018-07,Negative,0.05662745098039216,Bogotá Distrito Capital
2018-07,Neutral,0.04596078431372549,Bogotá Distrito Capital
2018-07,Positive,0.034980392156862744,Bogotá Distrito Capital
2018-07,Negative without reposts,0.07932427469702534,Bogotá Distrito Capital
2018-07,Neutral without reposts,0.04847594564818215,Bogotá Distrito Capital
2018-07,Positive without reposts,0.034153507161219246,Bogotá Distrito Capital
2018-08,Negative,0.11623529411764706,Bogotá Distrito Capital
2018-08,Neutral,0.08956862745098039,Bogotá Distrito Capital
2018-08,Positive,0.06682352941176471,Bogotá Distrito Capital
2018-08,Negative without reposts,0.15203819316929856,Bogotá Distrito Capital
2018-08,Neutral without reposts,0.09107601909658465,Bogotá Distrito Capital
2018-08,Positive without reposts,0.06353286816011752,Bogotá Distrito Capital
2018-09,Negative,0.12909803921568627,Bogotá Distrito Capital
2018-09,Neutral,0.20376470588235293,Bogotá Distrito Capital
2018-09,Positive,0.09788235294117648,Bogotá Distrito Capital
2018-09,Negative without reposts,0.14910025706940874,Bogotá Distrito Capital
2018-09,Neutral without reposts,0.12743297833272127,Bogotá Distrito Capital
2018-09,Positive without reposts,0.09878810135879544,Bogotá Distrito Capital
2018-10,Negative,0.10807843137254902,Bogotá Distrito Capital
2018-10,Neutral,0.1396078431372549,Bogotá Distrito Capital
2018-10,Positive,0.08015686274509803,Bogotá Distrito Capital
2018-10,Negative without reposts,0.1564450973191333,Bogotá Distrito Capital
2018-10,Neutral without reposts,0.10870363569592362,Bogotá Distrito Capital
2018-10,Positive without reposts,0.08887256702166728,Bogotá Distrito Capital
2018-11,Negative,0.1595294117647059,Bogotá Distrito Capital
2018-11,Neutral,0.19654901960784313,Bogotá Distrito Capital
2018-11,Positive,0.10980392156862745,Bogotá Distrito Capital
2018-11,Negative without reposts,0.18876239441792142,Bogotá Distrito Capital
2018-11,Neutral without reposts,0.1395519647447668,Bogotá Distrito Capital
2018-11,Positive without reposts,0.11053984575835475,Bogotá Distrito Capital
2018-12,Negative,0.13647058823529412,Bogotá Distrito Capital
2018-12,Neutral,0.1367843137254902,Bogotá Distrito Capital
2018-12,Positive,0.08627450980392157,Bogotá Distrito Capital
2018-12,Negative without reposts,0.13991920675725303,Bogotá Distrito Capital
2018-12,Neutral without reposts,0.09658464928387808,Bogotá Distrito Capital
2018-12,Positive without reposts,0.08630187293426368,Bogotá Distrito Capital
2019-01,Negative,0.14258823529411765,Bogotá Distrito Capital
2019-01,Neutral,0.06807843137254901,Bogotá Distrito Capital
2019-01,Positive,0.06870588235294117,Bogotá Distrito Capital
2019-01,Negative without reposts,0.2067572530297466,Bogotá Distrito Capital
2019-01,Neutral without reposts,0.09070877708409843,Bogotá Distrito Capital
2019-01,Positive without reposts,0.07858979067205288,Bogotá Distrito Capital
2019-02,Negative,0.21443137254901962,Bogotá Distrito Capital
2019-02,Neutral,0.24533333333333332,Bogotá Distrito Capital
2019-02,Positive,0.13819607843137255,Bogotá Distrito Capital
2019-02,Negative without reposts,0.2625780389276533,Bogotá Distrito Capital
2019-02,Neutral without reposts,0.12890194638266617,Bogotá Distrito Capital
2019-02,Positive without reposts,0.12045538009548293,Bogotá Distrito Capital
2019-03,Negative,0.15262745098039215,Bogotá Distrito Capital
